,movie_title,title_year,actor_1_name,actor_2_name,actor_3_name,director_name,title_year
0,Avatar ,2009.0,CCH Pounder,Joel David Moore,Wes Studi,James Cameron,2009.0
1,Pirates of the Caribbean: At World's End ,2007.0,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,2007.0
2,Spectre ,2015.0,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,2015.0
3,The Dark Knight Rises ,2012.0,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,2012.0
4,Star Wars: Episode VII - The Force Awakens             ,,Doug Walker,Rob Walker,,Doug Walker,
5,John Carter ,2012.0,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,2012.0
7,Tangled ,2010.0,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,2010.0
8,Avengers: Age of Ultron ,2015.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,2015.0
9,Harry Potter and the Half-Blood Prince ,2009.0,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,2009.0
10,Batman v Superman: Dawn of Justice ,2016.0,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,2016.0
11,Superman Returns ,2006.0,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,2006.0
12,Quantum of Solace ,2008.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,2008.0
13,Pirates of the Caribbean: Dead Man's Chest ,2006.0,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,2006.0
14,The Lone Ranger ,2013.0,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,2013.0
15,Man of Steel ,2013.0,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,2013.0
16,The Chronicles of Narnia: Prince Caspian ,2008.0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,2008.0
17,The Avengers ,2012.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,2012.0
18,Pirates of the Caribbean: On Stranger Tides ,2011.0,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,2011.0
19,Men in Black 3 ,2012.0,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,2012.0
20,The Hobbit: The Battle of the Five Armies ,2014.0,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,2014.0
21,The Amazing Spider-Man ,2012.0,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,2012.0
22,Robin Hood ,2010.0,Mark Addy,William Hurt,Scott Grimes,Ridley Scott,2010.0
23,The Hobbit: The Desolation of Smaug ,2013.0,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,2013.0
24,The Golden Compass ,2007.0,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,2007.0
26,Titanic ,1997.0,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,1997.0
27,Captain America: Civil War ,2016.0,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,2016.0
28,Battleship ,2012.0,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,2012.0
29,Jurassic World ,2015.0,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,2015.0
31,Spider-Man 2 ,2004.0,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,2004.0
32,Iron Man 3 ,2013.0,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,2013.0
34,X-Men: The Last Stand ,2006.0,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,2006.0
35,Monsters University ,2013.0,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,2013.0
36,Transformers: Revenge of the Fallen ,2009.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,2009.0
37,Transformers: Age of Extinction ,2014.0,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,2014.0
39,The Amazing Spider-Man 2 ,2014.0,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,2014.0
41,Cars 2 ,2011.0,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,2011.0
42,Green Lantern ,2011.0,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,2011.0
43,Toy Story 3 ,2010.0,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,2010.0
44,Terminator Salvation ,2009.0,Christian Bale,Bryce Dallas Howard,Common,McG,2009.0
45,Furious 7 ,2015.0,Jason Statham,Paul Walker,Vin Diesel,James Wan,2015.0
46,World War Z ,2013.0,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,2013.0
47,X-Men: Days of Future Past ,2014.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,2014.0
48,Star Trek Into Darkness ,2013.0,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,2013.0
49,Jack the Giant Slayer ,2013.0,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,2013.0
51,Prince of Persia: The Sands of Time ,2010.0,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,2010.0
52,Pacific Rim ,2013.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,2013.0
53,Transformers: Dark of the Moon ,2011.0,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,2011.0
54,Indiana Jones and the Kingdom of the Crystal Skull ,2008.0,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,2008.0
55,The Good Dinosaur ,2015.0,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,2015.0
56,Brave ,2012.0,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,2012.0
57,Star Trek Beyond ,2016.0,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,2016.0
58,WALL·E ,2008.0,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,2008.0
59,Rush Hour 3 ,2007.0,Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,2007.0
60,2012 ,2009.0,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,2009.0
61,A Christmas Carol ,2009.0,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,2009.0
62,Jupiter Ascending ,2015.0,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,2015.0
63,The Legend of Tarzan ,2016.0,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,2016.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005.0,Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,2005.0
65,X-Men: Apocalypse ,2016.0,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,2016.0
66,The Dark Knight ,2008.0,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,2008.0
67,Up ,2009.0,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,2009.0
68,Monsters vs. Aliens ,2009.0,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,2009.0
69,Iron Man ,2008.0,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,2008.0
70,Hugo ,2011.0,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,2011.0
71,Wild Wild West ,1999.0,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,1999.0
72,The Mummy: Tomb of the Dragon Emperor ,2008.0,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,2008.0
73,Suicide Squad ,2016.0,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,2016.0
74,Evan Almighty ,2007.0,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,2007.0
75,Edge of Tomorrow ,2014.0,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,2014.0
76,Waterworld ,1995.0,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,1995.0
77,G.I. Joe: The Rise of Cobra ,2009.0,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,2009.0
78,Inside Out ,2015.0,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,2015.0
80,Iron Man 2 ,2010.0,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,2010.0
81,Snow White and the Huntsman ,2012.0,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,2012.0
82,Maleficent ,2014.0,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,2014.0
83,Dawn of the Planet of the Apes ,2014.0,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,2014.0
85,47 Ronin ,2013.0,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,2013.0
86,Captain America: The Winter Soldier ,2014.0,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,2014.0
87,Shrek Forever After ,2010.0,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,2010.0
88,Tomorrowland ,2015.0,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,2015.0
89,Big Hero 6 ,2014.0,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,2014.0
90,Wreck-It Ralph ,2012.0,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,2012.0
91,The Polar Express ,2004.0,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,2004.0
92,Independence Day: Resurgence ,2016.0,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,2016.0
93,How to Train Your Dragon ,2010.0,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,2010.0
94,Terminator 3: Rise of the Machines ,2003.0,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,2003.0
95,Guardians of the Galaxy ,2014.0,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,2014.0
96,Interstellar ,2014.0,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,2014.0
97,Inception ,2010.0,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,2010.0
99,The Hobbit: An Unexpected Journey ,2012.0,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,2012.0
101,The Curious Case of Benjamin Button ,2008.0,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,2008.0
102,X-Men: First Class ,2011.0,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,2011.0
103,The Hunger Games: Mockingjay - Part 2 ,2015.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,2015.0
104,The Sorcerer's Apprentice ,2010.0,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,2010.0
105,Poseidon ,2006.0,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,2006.0
106,Alice Through the Looking Glass ,2016.0,Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,2016.0
107,Shrek the Third ,2007.0,Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,2007.0
108,Warcraft ,2016.0,Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,2016.0
109,Terminator Genisys ,2015.0,J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,2015.0
